"GeneName","Start","Stop","Chromosome"
"CAPZB",18838775,19985539,"1"
"MICOS10",18984403,20129821,"1"
"NBL1",19096979,20158456,"1"
"MICOS10-NBL1",19097067,20156927,"1"
"HTR6",19164875,20180966,"1"
"TMCO4",19182240,20299945,"1"
"RNF186",19314029,20315283,"1"
"OTUD3",19382395,20412945,"1"
"PLA2G2E",19420009,20423617,"1"
"PLA2G2A",19475431,20480416,"1"
"PLA2G5",19528179,20591911,"1"
"PLA2G2D",19611939,20619566,"1"
"PLA2G2F",19639323,20650381,"1"
"PLA2G2C",19661253,20686518,"1"
"UBXN10",19686096,20696050,"1"
"VWA5B1",19790875,20859518,"1"
"CAMK2N1",19982391,20986210,"1"
"MUL1",19999448,21008151,"1"
"FAM43B",20052573,21055020,"1"
"CDA",20089086,21118903,"1"
"PINK1",20133458,21151511,"1"
"DDOST",20151767,21161544,"1"
"KIF17",20164014,21218017,"1"
"SH2D5",20219731,21232837,"1"
"HP1BP3",20240266,21287323,"1"
"EIF4G3",20306292,21677285,"1"
"ECE1",20717247,21845572,"1"
"NBPF3",20940128,21985005,"1"
"ALPL",21009397,22078410,"1"
"RAP1GAP",21096221,22169357,"1"
"USP48",21178298,22283606,"1"
"LDLRAD2",21312265,22325225,"1"
"HSPG2",21322244,22437310,"1"
"CELA3B",21477022,22498642,"1"
"CELA3A",21501657,22512542,"1"
"CDC42",21552627,22601360,"1"
"WNT4",21617313,22643969,"1"
"ZBTB40",21928838,23031157,"1"
"EPHA8",22063489,23103595,"1"
"C1QA",22135077,23139678,"1"
"C1QC",22143014,23148110,"1"
"C1QB",22152762,23161637,"1"
"EPHB2",22210839,23421500,"1"
"LACTBL1",22453043,23472866,"1"
"TEX46",22510834,23519100,"1"
"KDM1A",22519443,23583689,"1"
"LUZP1",22584030,23677808,"1"
"HTR1D",22691895,23717502,"1"
"HNRNPR",22803771,23844336,"1"
"ZNF436",22859448,23869836,"1"
"TCEA3",22880909,23924748,"1"
"ASAP3",22928563,23984568,"1"
"E2F2",23006438,24031233,"1"
"ID3",23057926,24059501,"1"
"RPL11",23191742,24196835,"1"
"ELOA",23243448,24262059,"1"
"PITHD1",23278418,24288232,"1"
"LYPLA2",23291145,24295539,"1"
"GALE",23295599,24300781,"1"
"HMGCL",23301885,24338620,"1"
"FUCA1",23345077,24368290,"1"
"CNR2",23370515,24413362,"1"
"PNRC2",23456839,24463462,"1"
"SRSF10",23464347,24480927,"1"
"MYOM3",23556035,24612135,"1"
"IL22RA1",23619771,24643140,"1"
"IFNLR1",23654168,24687959,"1"
"GRHL3",23699558,24864482,"1"
"STPG1",23856999,24916934,"1"
"NIPAL3",23915802,24972976,"1"
"RCAN3",24002351,25041040,"1"
"NCMAP",24056087,25109328,"1"
"SRRM1",24131716,25173281,"1"
"CLIC4",24245382,25344321,"1"
"RUNX3",24399511,25465121,"1"
"SYF2",24722276,25732502,"1"
"RSRP1",24742249,25838213,"1"
"RHD",24772393,25830445,"1"
"TMEM50A",24838317,25862361,"1"
"RHCE",24862249,25930192,"1"
"MACO1",24930858,26000209,"1"
"LDLRAP1",25043606,26068886,"1"
"MAN1C1",25116791,26286206,"1"
"SELENON",25300193,26318221,"1"
"MTFR1L",25318640,26332942,"1"
"AUNIP",25331913,26359458,"1"
"PAQR7",25361484,26375708,"1"
"STMN1",25384181,26406991,"1"
"PAFAH2",25459767,26498117,"1"
"EXTL1",25519884,26536464,"1"
"SLC30A2",25537252,26546118,"1"
"TRIM63",25551301,26568436,"1"
"PDIK1L",25611165,26625555,"1"
"FAM110D",25659079,26663962,"1"
"C1orf232",25664101,26668963,"1"
"ZNF593OS",25669516,26671832,"1"
"ZNF593",25669908,26670873,"1"
"CNKSR1",25677484,26689884,"1"
"CATSPER4",25690561,26702968,"1"
"CEP85",25734200,26778808,"1"
"SH3BGRL3",25780086,26781522,"1"
"UBXN11",25781328,26818363,"1"
"CD52",25817958,26820523,"1"
"CRYBG2",25821698,26860080,"1"
"ZNF683",25861634,26874522,"1"
"LIN28A",25910817,26929728,"1"
"DHDDS",25932282,26971306,"1"
"HMGN2",25972440,26976642,"1"
"RPS6KA1",26029761,27075030,"1"
"ARID1A",26193236,27282104,"1"
"PIGV",26287054,27300659,"1"
"ZDHHC18",26326688,27357604,"1"
"SFN",26363149,27364456,"1"
"GPN2",26376132,27390283,"1"
"GPATCH3",26390488,27400467,"1"
"NUDC",26400238,27446871,"1"
"NR0B2",26411489,27413975,"1"
"KDF1",26449562,27460468,"1"
"TRNP1",26493692,27500886,"1"
"TENT5B",26505020,27512850,"1"
"SLC9A1",26598809,27666981,"1"
"WDTC1",26734632,27808636,"1"
"TMEM222",26822145,27836400,"1"
"SYTL1",26842020,27853937,"1"
"MAP3K6",26855184,27866961,"1"
"FCN3",26869110,27874824,"1"
"CD164L2",26879176,27883333,"1"
"GPR3",26892622,27895814,"1"
"WASF2",26904230,27990167,"1"
"AHDC1",27034035,28104431,"1"
"FGR",27112064,28135185,"1"
"IFI6",27166064,28172212,"1"
"FAM76A",27225961,28263116,"1"
"STX12",27273219,28324443,"1"
"PPP1R8",27330782,28351676,"1"
"THEMIS2",27372543,28386685,"1"
"RPA2",27391524,28414746,"1"
"SMPDL3B",27435000,28459157,"1"
"XKR8",27459588,28468093,"1"
"EYA3",27470344,28588637,"1"
"PTAFR",27647166,28693936,"1"
"DNAJC8",27699456,28733029,"1"
"ATP5IF1",27736109,28746906,"1"
"SESN2",27759518,28782491,"1"
"MED18",27829002,28835965,"1"
"PHACTR4",27869582,29000364,"1"
"RCC1",28005943,29039300,"1"
"TRNAU1AP",28053085,29078545,"1"
"TAF12",28087829,29148291,"1"
"RAB42",28092200,29095449,"1"
"GMEB1",28168778,29219353,"1"
"YTHDF2",28236621,29269775,"1"
"OPRD1",28312170,29371267,"1"
"EPB41",28387091,29620046,"1"
"TMEM200B",28619429,29623903,"1"
"SRSF4",28647743,29681900,"1"
"MECR",28692657,29730942,"1"
"PTPRU",28736516,29826813,"1"
"MATN1",30211277,31223585,"1"
"LAPTM5",30232469,31257774,"1"
"SDC3",30369466,31408758,"1"
"PUM1",30431506,31565991,"1"
"NKAIN1",30679745,31739887,"1"
"SNRNP40",30759568,31796788,"1"
"ZCCHC17",30796982,31864953,"1"
"FABP3",30865253,31876850,"1"
"SERINC2",30909565,31934680,"1"
"TINAGL1",31076485,32087686,"1"
"HCRTR1",31117686,32132518,"1"
"PEF1",31129866,32144896,"1"
"COL16A1",31152263,32204319,"1"
"ADGRB2",31227117,32264893,"1"
"SPOCD1",31290422,32316022,"1"
"PTP4A2",31406421,32444856,"1"
"KHDRBS1",31513868,32560850,"1"
"TMEM39B",31572031,32602866,"1"
"KPNA6",31608056,32676563,"1"
"TXLNA",31679675,32698285,"1"
"CCDC28B",31700595,32705453,"1"
"IQCC",31705671,32708682,"1"
"DCDC2B",31709089,32716192,"1"
"TMEM234",31714472,32722359,"1"
"EIF3I",31721077,32745397,"1"
"FAM167B",31747222,32748856,"1"
"LCK",31751244,32786165,"1"
"HDAC1",31792083,32833635,"1"
"MARCKSL1",31833839,32836233,"1"
"TSSK3",31851521,32864312,"1"
"FAM229A",31861270,32864278,"1"
"BSDC1",31864633,32894731,"1"
"ZBTB8B",31965072,32996686,"1"
"ZBTB8A",32039427,33105941,"1"
"ZBTB8OS",32100172,33150903,"1"
"RBBP4",32151142,33186211,"1"
"SYNC",32179906,33203596,"1"
"KIAA1522",32241830,33274970,"1"
"YARS1",32275237,33318031,"1"
"S100PBP",32316767,33358875,"1"
"FNDC5",32362268,33372482,"1"
"HPCA",32385994,33398441,"1"
"TMEM54",32394594,33401438,"1"
"RNF19B",32436445,33464809,"1"
"AK2",32507986,33580996,"1"
"AZIN2",32581104,33623492,"1"
"TRIM62",32645399,33682059,"1"
"ZNF362",32756492,33800719,"1"
"A3GALT2",32806766,33821098,"1"
"PHC2",32823623,33931095,"1"
"ZSCAN20",32972645,34001643,"1"
"CSMD2",33013998,34665842,"1"
"HMGB4",33360475,34364791,"1"
"C1orf94",33666883,34719131,"1"
"SMIM12",34212737,35359755,"1"
"GJB5",34255047,35258512,"1"
"GJB4",34259740,35262327,"1"
"GJB3",34281214,35286369,"1"
"GJA4",34292999,35295747,"1"
"DLGAP3",34365436,35429650,"1"
"TMEM35B",34481380,35485347,"1"
"ZMYM6",34486165,35531945,"1"
"ZMYM1",34532172,35615859,"1"
"SFPQ",34676378,35693446,"1"
"ZMYM4",34768709,35922058,"1"
"KIAA0319L",34893883,36057950,"1"
"NCDN",35057473,36067274,"1"
"TFAP2E",35073314,36095328,"1"
"PSMB2",35099541,36141526,"1"
"C1orf216",35213877,36218894,"1"
"CLSPN",35220218,36269978,"1"
"AGO4",35308016,36357890,"1"
"AGO1",35369808,36430532,"1"
"AGO3",35430718,36572500,"1"
"TEKT2",35584094,36588275,"1"
"ADPRS",35588892,36593932,"1"
"COL8A2",35595239,36625222,"1"
"TRAPPC3",35636570,36656053,"1"
"MAP7D1",35655579,36680849,"1"
"THRAP3",35724432,36805357,"1"
"SH3D21",35806368,36829340,"1"
"EVA1B",35822030,36824154,"1"
"STK40",35839624,36885924,"1"
"LSM10",35891238,36897908,"1"
"OSCP1",35915827,36950451,"1"
"MRPS15",35955718,36964384,"1"
"CSF3R",35966043,36983278,"1"
"GRIK3",36295527,37534515,"1"
"ZC3H12A",36974580,37984377,"1"
"MEAF6",36989993,38014766,"1"
"SNIP1",37034449,38054293,"1"
"DNALI1",37056919,38066857,"1"
"GNL2",37066816,38095937,"1"
"RSPO1",37111350,38134892,"1"
"C1orf109",37181570,38192249,"1"
"CDCA8",37192481,38209719,"1"
"EPHA10",37213880,38265133,"1"
"MANEAL",37293847,38301137,"1"
"YRDC",37302945,38308208,"1"
"C1orf122",37306979,38309454,"1"
"MTF1",37309574,38359592,"1"
"INPP5B",37360697,38447053,"1"
"SF3A3",37456975,38490075,"1"
"FHL3",37496770,38505606,"1"
"UTP11",37509258,38524820,"1"
"POU3F1",37543829,38546793,"1"
"RRAGC",38338198,39359772,"1"
"MYCBP",38362493,39373368,"1"
"GJA9",38374069,39381587,"1"
"RHBDL2",38385807,39441830,"1"
"AKIRIN1",38491276,39506059,"1"
"NDUFS5",38526318,39534636,"1"
"MACF1",38581316,39987177,"1"
"BMP8A",38991636,40029869,"1"
"PABPC4",39060709,40076790,"1"
"HEYL",39123435,40139643,"1"
"NT5C1A",39151229,40172107,"1"
"HPCAL4",39178648,40191485,"1"
"PPIE",39192182,40263914,"1"
"BMP8B",39257182,40288865,"1"
"OXCT2",39269523,40271348,"1"
"TRIT1",39338110,40383511,"1"
"MYCL",39395428,40402256,"1"
"MFSD2A",39455112,40469968,"1"
"CAP1",39540233,40572649,"1"
"PPT1",39572710,40597260,"1"
"RLF",39661387,40740921,"1"
"TMCO2",39745947,40751684,"1"
"ZMPSTE24",39758041,40794180,"1"
"COL9A2",39800489,40817813,"1"
"SMAP2",39844850,40923326,"1"
"ZFP69B",39950102,40963718,"1"
"ZFP69",39977290,40996343,"1"
"EXO5",40008741,41016038,"1"
"ZNF684",40031573,41048167,"1"
"RIMS3",40120680,41165682,"1"
"NFYC",40191648,41271603,"1"
"KCNQ4",40283787,41340452,"1"
"CITED4",40361054,41362363,"1"
"CTPS1",40479300,41512565,"1"
"SLFNL1",40515589,41523237,"1"
"SCMH1",40527202,41742306,"1"
"FOXO6",40861922,41883590,"1"
"EDN2",40978775,41984683,"1"
"HIVEP3",41006365,42535925,"1"
"GUCA2B",41653410,42655820,"1"
"GUCA2A",41662690,42664745,"1"
"FOXJ3",41676539,42835877,"1"
"RIMKLA",41880792,42924232,"1"
"ZMYND12",41930329,42956253,"1"
"PPCS",41956117,42973385,"1"
"CCDC30",41963221,43157190,"1"
"PPIH",42158335,43176758,"1"
"YBX1",42182418,43203805,"1"
"CLDN19",42233093,43240254,"1"
"P3H1",42246335,43267084,"1"
"C1orf50",42267245,43279491,"1"
"TMEM269",42284991,43316619,"1"
"SVBP",42307052,43317397,"1"
"ERMAP",42317122,43344991,"1"
"ZNF691",42346573,43352477,"1"
"SLC2A1",42425353,43458893,"1"
"CFAP144",42645153,43656396,"1"
"EBNA1BP2",42664175,43770936,"1"
"CFAP57",42672330,43754358,"1"
"TMEM125",42769983,43774002,"1"
"C1orf210",42781877,43785617,"1"
"TIE1",42800982,43823108,"1"
"MPL",42837818,43854466,"1"
"CDC20",42858981,43863203,"1"
"ELOVL1",42863398,43868074,"1"
"MED8",42883917,43889808,"1"
"SZT2",42889882,43954247,"1"
"HYI",42950989,43953989,"1"
"PTPRF",43025187,44123666,"1"
"KDM4A",43150149,44205518,"1"
"ST3GAL3",43205824,44431165,"1"
"ARTN",43433320,44437240,"1"
"IPO13",43446950,44468022,"1"
"DPH2",43470000,44473369,"1"
"ATP6V0B",43474487,44478295,"1"
"B4GALT2",43478943,44491170,"1"
"CCDC24",43491359,44496528,"1"
"SLC6A9",43491500,44531467,"1"
"KLF17",43618821,44635140,"1"
"KLF18",43637821,44641631,"1"
"DMAP1",43713455,44720681,"1"
"ERI3",43721070,44855260,"1"
"RNF220",43905194,45151723,"1"
"TMEM53",44135238,45174481,"1"
"ARMH1",44174692,45225591,"1"
"KIF2C",44239818,45267767,"1"
"RPS8",44275251,45278779,"1"
"BEST4",44283585,45288170,"1"
"PLK3",44300377,45305990,"1"
"DYNLT4",44305893,45307351,"1"
"BTBD19",44308523,45315585,"1"
"PTCH2",44319844,45343253,"1"
"EIF2B3",44350522,45486722,"1"
"HECTD3",44502540,45511324,"1"
"UROD",44510950,45515575,"1"
"ZSWIM5",44516399,45806209,"1"
"HPDL",44826895,45828710,"1"
"MUTYH",44829163,45840893,"1"
"TOE1",44840052,45843973,"1"
"TESK2",44843883,45991163,"1"
"CCDC163",44993866,46000079,"1"
"MMACHC",45000300,46013382,"1"
"PRDX1",45010914,46042732,"1"
"AKR1A1",45050543,46070049,"1"
"NASP",45083846,46118904,"1"
"CCDC17",45120044,46124057,"1"
"GPBP1L1",45127304,46188113,"1"
"TMEM69",45188181,46194436,"1"
"IPP",45194324,46250653,"1"
"MAST2",45286987,46536122,"1"
"PIK3R3",45540140,46633036,"1"
"P3R3URF-PIK3R3",45543661,46676488,"1"
"TSPAN1",45675073,46685962,"1"
"P3R3URF",45675486,46676488,"1"
"POMGNT1",45688683,46720305,"1"
"LURAP1",45703334,46721256,"1"
"RAD54L",45746461,46778480,"1"
"LRRC41",45761196,46803616,"1"
"UQCRH",45803698,46816776,"1"
"NSUN4",45840789,46865152,"1"
"FAAH",45894317,46913848,"1"
"DMBX1",45989836,47016216,"1"
"TMEM275",46032166,47043969,"1"
"KNCN",46045641,47051647,"1"
"MKNK1",46057407,47116843,"1"
"MOB3C",46107719,47116811,"1"
"ATPAF1",46132737,47173867,"1"
"TEX38",46168855,47173594,"1"
"EFCAB14",46174659,47219146,"1"
"CYP4B1",46257838,47319413,"1"
"CYP4A11",46429177,47441484,"1"
"CYP4X1",46523669,47550751,"1"
"CYP4Z1",46567231,47618318,"1"
"CYP4A22",46637435,47649727,"1"
"PDZK1IP1",46683582,47691044,"1"
"TAL1",46716290,47732225,"1"
"STIL",46750139,47814892,"1"
"CMPK1",46833790,47894866,"1"
"FOXE3",46916285,47918052,"1"
"FOXD2",46938044,47940691,"1"
"TRABD2B",47260528,48497385,"1"
"SLC5A9",47722685,48748644,"1"
"SPATA6",47795373,48972208,"1"
"AGBL4",48032854,50523954,"1"
"BEND5",48227519,49276969,"1"
"ELAVL4",49524029,50703772,"1"
"DMRTA2",49917550,50923443,"1"
"FAF1",49937028,51460267,"1"
"CDKN2C",50460745,51474634,"1"
"C1orf185",50602221,51648086,"1"
"RNF11",50736273,51773447,"1"
"TTC39A",50787258,51845116,"1"
"EPS15",50854263,52019328,"1"
"OSBPL9",51077179,52298427,"1"
"NRDC",51289191,52378805,"1"
"RAB3B",51407956,52490700,"1"
"TXNDC12",51520131,52555191,"1"
"KTI12",51532103,52533810,"1"
"BTF3L4",51556199,52590716,"1"
"ZFYVE9",51642089,52848671,"1"
"CC2D1B",51845723,52866205,"1"
"ORC1",51872829,52904423,"1"
"PRPF38A",51904602,52920836,"1"
"TUT4",51908282,53053487,"1"
"GPX7",52102371,53109051,"1"
"SHISAL2A",52133168,53169683,"1"
"COA7",52184449,53198347,"1"
"ZYG11B",52226453,53327336,"1"
"ZYG11A",52342511,53394998,"1"
"ECHDC2",52395910,53427212,"1"
"SCP2",52427276,53551698,"1"
"PODN",52562052,53585501,"1"
"SLC1A7",52587179,53642638,"1"
"CPT2",52696792,53714197,"1"
"CZIB",52714099,53720634,"1"
"MAGOH",52726900,53738518,"1"
"LRP8",52742364,53828469,"1"
"DMRTB1",52959399,53967488,"1"
"GLIS1",53006237,54239164,"1"
"NDC1",53265478,54338463,"1"
"YIPF1",53351719,54389798,"1"
"DIO1",53391239,54411086,"1"
"IFT25",53416574,54445699,"1"
"LRRC42",53446085,54468168,"1"
"LDLRAD1",53507298,54518186,"1"
"TMEM59",53526681,54553504,"1"
"TCEANC2",53553584,54612519,"1"
"CDCP2",53632687,54653770,"1"
"CYB5RL",53669651,54700036,"1"
"MRPL37",53684041,54725464,"1"
"SSBP3",53725432,54913479,"1"
"ACOT11",54042257,55139192,"1"
"FAM151A",54109181,55123556,"1"
"MROH7",54141754,55210266,"1"
"MROH7-TTC4",54141786,55242308,"1"
"TTC4",54215861,55242657,"1"
"PARS2",54256898,55264523,"1"
"TTC22",54279712,55301323,"1"
"LEXM",54306063,55342252,"1"
"DHCR24",54349627,55387195,"1"
"TMEM61",54480628,55492288,"1"
"BSND",54498933,55517172,"1"
"PCSK9",54539447,55564852,"1"
"USP24",54566359,55715378,"1"
"PLPP3",55994761,57145301,"1"
"PRKAA2",56145314,57215335,"1"
"FYB2",56218789,57319696,"1"
"C8A",56354768,57418223,"1"
"C8B",56429207,57474383,"1"
"DAB1",56494778,59046734,"1"
"OMA1",57915384,59046802,"1"
"TACSTD2",58075433,59077252,"1"
"MYSM1",58143440,59200090,"1"
"JUN",58276845,59284048,"1"
"FGGY",58796638,60310647,"1"
"HOOK1",59314786,60376322,"1"
"CYP2J2",59393308,60426773,"1"
"C1orf87",59487269,60573770,"1"
"NFIA",60365259,61962788,"1"
"TM2D1",61181046,62225423,"1"
"PATJ",61242477,62678675,"1"
